simple,scrambled
9*(p_1 · F_3 · F_2 · p_4*p_1 · p_3*p_2 · p_3)/(p_1 · p_2*p_1 · p_3) - 66*(p_1 · F_2 · F_3 · p_4*p_1 · p_4*p_2 · p_3)/(p_2 · p_4*p_3 · p_4) - 38*(p_1 · p_2*p_2 · p_3*p_4 · F_3 · F_2 · p_1)/(p_1 · p_2*p_1 · p_3),9*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_4) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_4) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_4) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_4))*p_1 · p_3*p_2 · p_3)/(p_1 · p_2*p_1 · p_3) - 66*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_1 · p_4*p_2 · p_3)/(p_2 · p_4*p_3 · p_4) - 38*(p_1 · p_2*p_2 · p_3*((p_4 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_4 · p_3)*(e_3 · e_2)*(p_2 · p_1) - (p_4 · e_3)*(p_3 · p_2)*(e_2 · p_1) + (p_4 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_1 · p_2*p_1 · p_3)
2*(p_1 · F_3 · p_4*p_1 · p_2*p_2 · p_3*p_2 · p_3*p_3 · F_2 · p_1*p_3 · p_4)/(p_2 · p_4*p_3 · p_4) + 25*(Tr(F_2 · F_3)*p_2 · p_4)/(p_1 · p_2*p_1 · p_4*p_2 · p_4*p_3 · p_4) - 39*(p_1 · F_2 · p_4*p_1 · p_2*p_1 · p_4*p_1 · p_4*p_2 · F_3 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3),(2*(((p_1 · p_3)*(e_3 · p_4) - (p_1 · e_3)*(p_3 · p_4))*p_1 · p_2*p_2 · p_3*p_2 · p_3*((p_3 · p_2)*(e_2 · p_1) - (p_3 · e_2)*(p_2 · p_1))*p_3 · p_4)/(p_2 · p_4*p_3 · p_4) + 25*((2*((e_2 · p_3)*(p_2 · e_3) - (p_2 · p_3)*(e_2 · e_3)))*p_2 · p_4)/(p_1 · p_2*p_1 · p_4*p_2 · p_4*p_3 · p_4) - 39*(((p_1 · p_2)*( - (e_2 · p_1 + e_2 · p_2 + e_2 · p_3)) - (p_1 · e_2)*(p_2 · p_4))*p_1 · p_2*p_1 · p_4*p_1 · p_4*((p_2 · p_3)*(e_3 · p_4) - (p_2 · e_3)*(p_3 · p_4))*p_3 · p_4)/(p_1 · p_2*p_1 · p_3)) + (p_1 · p_2 + p_2 · p_2 + p_3 · p_2 + p_4 · p_2)
6*(Tr(F_2 · F_3)*p_2 · p_3*p_2 · p_4)/(p_2 · p_4*p_3 · p_4) + 93*(p_1 · F_2 · F_3 · p_4)/(p_2 · p_4*p_3 · p_4) + 70*(p_1 · F_2 · F_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4),(((6*((2*((e_2 · p_3)*(p_2 · e_3) - (p_2 · p_3)*(e_2 · e_3)))*p_2 · p_3*p_2 · p_4)/(p_2 · p_4*p_3 · p_4) + 93*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4)))/(p_2 · p_4*p_3 · p_4) + 70*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_2 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_2*p_3 · p_1*p_1 · p_3*p_1 · p_4))*(p_2 · p_4)/(p_2 · p_4)) + (p_1 · p_1 + p_2 · p_1 + p_3 · p_1 + p_4 · p_1))*(p_1 · p_3)/(p_1 · p_3)
-6*(p_1 · F_2 · p_4*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_4 · F_3 · p_1)/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) - 96*(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · F_3 · p_1*p_2 · p_3*p_4 · F_2 · p_3)/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) + 11*(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3*p_4 · F_2 · F_3 · p_1)/(p_1 · p_2*p_1 · p_3) - 32*(p_1 · F_3 · p_4*p_1 · p_3*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_4 · F_2 · p_1)/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) - 55*(p_1 · p_3*p_2 · p_3*p_3 · F_2 · p_1*p_4 · F_3 · p_2)/(p_2 · p_4*p_3 · p_4) + 55*(p_1 · p_2*p_2 · p_4*p_2 · p_4*p_2 · p_4*p_4 · F_3 · F_2 · p_1)/(p_1 · p_2*p_1 · p_3*p_1 · p_4),(-6*(((p_1 · p_2)*(e_2 · p_4) - (p_1 · e_2)*(p_2 · p_4))*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_4 · p_3)*(e_3 · p_1) - (p_4 · e_3)*(p_3 · p_1)))/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) - 96*(p_1 · p_2*p_1 · p_3*p_1 · p_4*((p_2 · p_3)*(e_3 · p_1) - (p_2 · e_3)*(p_3 · p_1))*p_2 · p_3*((p_4 · p_2)*(e_2 · p_3) - (p_4 · e_2)*(p_2 · p_3)))/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) + 11*(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3*((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1)))/(p_1 · p_2*p_1 · p_3) - 32*(((p_1 · p_3)*(e_3 · p_4) - (p_1 · e_3)*(p_3 · p_4))*p_1 · p_3*p_1 · p_3*p_2 · p_3*p_2 · p_4*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1)))/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) - 55*(p_1 · p_3*p_2 · p_3*((p_3 · p_2)*(e_2 · p_1) - (p_3 · e_2)*(p_2 · p_1))*((p_4 · p_3)*(e_3 · p_2) - (p_4 · e_3)*(p_3 · p_2)))/(p_2 · p_4*p_3 · p_4) + 55*(p_1 · p_2*p_2 · p_4*p_2 · p_4*p_2 · p_4*((p_4 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_4 · p_3)*(e_3 · e_2)*(p_2 · p_1) - (p_4 · e_3)*(p_3 · p_2)*(e_2 · p_1) + (p_4 · e_3)*(p_3 · e_2)*(p_2 · p_1)))/(p_1 · p_2*p_1 · p_3*p_1 · p_4))*(p_4 · p_1)/(p_4 · p_1)
8*(p_1 · p_4*p_2 · p_3*p_2 · p_4*p_4 · F_2 · p_1*p_4 · F_3 · p_2)/(p_1 · p_2*p_1 · p_3) + 83*(Tr(F_2 · F_3)*p_1 · p_2*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4) - 15*(p_1 · F_2 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_4 · F_3 · p_2)/(p_1 · p_2*p_1 · p_3),(((8*(p_1 · p_4*p_2 · p_3*p_2 · p_4*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*((p_4 · p_3)*( - (e_3 · p_1 + e_3 · p_3 + e_3 · p_4)) - (p_4 · e_3)*(p_3 · p_2)))/(p_1 · p_2*p_1 · p_3) + 83*((2*((e_2 · p_3)*(p_2 · e_3) - (p_2 · p_3)*(e_2 · e_3)))*p_1 · p_2*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4) - 15*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_4 · p_3)*(e_3 · p_2) - (p_4 · e_3)*(p_3 · p_2)))/(p_1 · p_2*p_1 · p_3)) + (p_1 · p_2 + p_2 · p_2 + p_3 · p_2 + p_4 · p_2)) + ((e_2 · p_1 +  - (e_2 · p_1 + e_2 · p_3 + e_2 · p_4) + e_2 · p_3 + e_2 · p_4))) + ((e_2 · p_1 + e_2 · p_2 + e_2 · p_3 + e_2 · p_4))
6*(p_1 · F_2 · p_4*p_1 · p_4*p_1 · p_4*p_2 · F_3 · p_4*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4) + 14*(p_1 · F_2 · p_4*p_1 · p_3*p_1 · p_4*p_1 · p_4*p_2 · F_3 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) - 60*(p_2 · p_3*p_3 · p_4*p_3 · p_4*p_4 · F_2 · p_3*p_4 · F_3 · p_1)/(p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4),((6*(((p_1 · p_2)*(e_2 · p_4) - (p_1 · e_2)*(p_2 · p_4))*p_1 · p_4*p_1 · p_4*((p_2 · p_3)*(e_3 · p_4) - (p_2 · e_3)*(p_3 · p_4))*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4) + 14*(((p_1 · p_2)*(e_2 · p_4) - (p_1 · e_2)*(p_2 · p_4))*p_1 · p_3*p_1 · p_4*p_1 · p_4*((p_2 · p_3)*(e_3 · p_4) - (p_2 · e_3)*(p_3 · p_4))*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_1 · p_3*p_1 · p_4) - 60*(p_2 · p_3*p_3 · p_4*p_3 · p_4*((p_4 · p_2)*(e_2 · p_3) - (p_4 · e_2)*(p_2 · p_3))*((p_4 · p_3)*(e_3 · p_1) - (p_4 · e_3)*(p_3 · p_1)))/(p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4)) + (p_1 · p_4 + p_2 · p_4 + p_3 · p_4 + p_4 · p_4)) + ((e_2 · p_1 + e_2 · p_2 + e_2 · p_3 + e_2 · p_4))
7*(p_1 · F_3 · p_2*p_3 · F_2 · p_1)/(p_1 · p_2*p_1 · p_2*p_1 · p_3) - 33*(p_2 · F_3 · p_1*p_4 · F_2 · p_1)/(p_1 · p_2*p_1 · p_3*p_1 · p_3) + 86*(p_1 · F_2 · p_3*p_4 · F_3 · p_1)/(p_1 · p_2*p_1 · p_3*p_1 · p_4) - 10*(p_1 · F_3 · F_2 · p_4*p_1 · p_2*p_2 · p_4)/(p_2 · p_4*p_3 · p_4) + 9*(p_3 · F_2 · p_1*p_4 · F_3 · p_1)/(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4) + 28*(p_1 · F_2 · p_3*p_4 · F_3 · p_2)/(p_2 · p_4*p_3 · p_4),(7*(((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*((p_3 · p_2)*(e_2 · p_1) - (p_3 · e_2)*(p_2 · p_1)))/(p_1 · p_2*p_1 · p_2*p_1 · p_3) - 33*(((p_2 · p_3)*(e_3 · p_1) - (p_2 · e_3)*(p_3 · p_1))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1)))/(p_1 · p_2*p_1 · p_3*p_1 · p_3) + 86*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_4 · p_3)*(e_3 · p_1) - (p_4 · e_3)*(p_3 · p_1)))/(p_1 · p_2*p_1 · p_3*p_1 · p_4) - 10*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_4) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_4) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_4) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_4))*p_1 · p_2*p_2 · p_4)/(p_2 · p_4*p_3 · p_4) + 9*(((p_3 · p_2)*(e_2 · p_1) - (p_3 · e_2)*(p_2 · p_1))*((p_4 · p_3)*(e_3 · p_1) - (p_4 · e_3)*(p_3 · p_1)))/(p_1 · p_2*p_1 · p_3*p_4 · p_1*p_2 · p_4*p_3 · p_4) + 28*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_4 · p_3)*(e_3 · p_2) - (p_4 · e_3)*(p_3 · p_2)))/(p_2 · p_4*p_3 · p_4)) + (p_1 · p_3 + p_2 · p_3 + p_3 · p_3 + p_4 · p_3)
-(p_1 · p_3*p_3 · F_2 · p_4*p_4 · F_3 · p_1)/(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4),((((-(p_1 · p_3*((p_3 · p_2)*(e_2 · p_4) - (p_3 · e_2)*(p_2 · p_4))*((p_4 · p_3)*(e_3 · p_1) - (p_4 · e_3)*(p_1 · p_3)))/(p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_4*p_3 · p_4)) + ((e_3 · p_1 + e_3 · p_2 + e_3 · p_3 + e_3 · p_4))) + (p_1 · p_4 + p_2 · p_4 + p_3 · p_4 + p_4 · p_4)) + ((e_3 · p_1 + e_3 · p_2 + e_3 · p_3 + e_3 · p_4))) + ((e_2 · p_1 + e_2 · p_2 + e_2 · p_3 + e_2 · p_4))
5*(p_1 · F_3 · F_2 · p_4)/(p_1 · p_3*p_2 · p_4*p_3 · p_4) + 23*(p_1 · p_3*p_1 · p_4*p_2 · F_3 · p_4*p_2 · p_3*p_4 · F_2 · p_1)/(p_1 · p_2*p_1 · p_4*p_2 · p_4*p_3 · p_4) - 68*(p_1 · F_2 · p_3*p_1 · F_3 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3)/(p_2 · p_4*p_3 · p_4),(5*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_4) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_4) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_4) + (p_1 · e_3)*(p_3 · e_2)*(p_2 · p_4)))/(p_1 · p_3*p_2 · p_4*p_3 · p_4) + 23*(p_1 · p_3*p_1 · p_4*((p_3 · p_2)*( - (e_3 · p_1 + e_3 · p_2 + e_3 · p_3)) - (p_2 · e_3)*(p_3 · p_4))*p_2 · p_3*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1)))/(p_1 · p_2*p_1 · p_4*p_2 · p_4*p_4 · p_3) - 68*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_1 · p_3)*(e_3 · p_2) - (p_1 · e_3)*(p_3 · p_2))*p_1 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3)/(p_2 · p_4*p_3 · p_4))*(p_4 · p_2)/(p_4 · p_2)
4*(Tr(F_2 · F_3)*p_1 · p_4*p_2 · p_3)/(p_1 · p_2*p_1 · p_3) + 69*(Tr(F_2 · F_3)*p_1 · p_2*p_3 · p_4)/(p_2 · p_4*p_3 · p_4) - 19*(p_1 · p_2*p_2 · F_3 · p_1*p_3 · F_2 · p_1)/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_4),((4*((2*((e_2 · p_3)*(p_2 · e_3) - (p_2 · p_3)*(e_2 · e_3)))*p_1 · p_4*p_2 · p_3)/(p_1 · p_2*p_1 · p_3) + 69*((2*((e_2 · p_3)*(p_2 · e_3) - (p_2 · p_3)*(e_2 · e_3)))*p_1 · p_2*p_3 · p_4)/(p_2 · p_4*p_3 · p_4) - 19*(p_1 · p_2*((p_2 · p_3)*(e_3 · p_1) - (e_3 · p_2)*(p_3 · p_1))*((p_3 · p_2)*(e_2 · p_1) - (p_3 · e_2)*(p_1 · p_2)))/(p_1 · p_2*p_1 · p_2*p_1 · p_3*p_1 · p_4))*(p_1 · p_2)/(p_1 · p_2))*(p_2 · p_4)/(p_2 · p_4)
