simple,scrambled
9*(p_1 · F_3 · F_2 · p_4*p_1 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4),(9*(((p_1 · p_3)*(e_3 · p_2)*(e_2 · p_4) - (p_1 · e_3)*(p_3 · p_2)*(e_2 · p_4) - (p_1 · p_3)*(e_3 · e_2)*(p_2 · p_4) + (p_1 · e_3)*(e_2 · p_3)*(p_2 · p_4))*p_1 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4))*(p_2 · p_3)/(p_2 · p_3)
9*(Tr(F_2 · F_3))/(p_2 · p_3) - 59*(p_4 · F_3 · F_2 · p_1*p_1 · p_4*p_2 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) + 3*(p_1 · F_2 · F_3 · p_4*p_1 · p_2*p_2 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4),(9*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_2 · p_3) - 59*(((p_4 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_4 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_4 · p_3)*(e_3 · e_2)*(p_2 · p_1) + (p_4 · e_3)*(p_3 · e_2)*(p_2 · p_1))*p_1 · p_4*p_2 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) + 3*((((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_1 · p_2*p_2 · p_4)/((p_2 · p_3 - p_2 · p_4)*p_2 · p_4*p_1 · p_3*p_3 · p_4) - (((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_1 · p_2*p_2 · p_4)/((p_2 · p_3 - p_2 · p_4)*p_2 · p_3*p_1 · p_3*p_3 · p_4)))*(p_2 · p_3)/(p_2 · p_3)
-6*(p_1 · F_2 · F_3 · p_4*p_3 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) - 72*(Tr(F_2 · F_3)*p_3 · p_4)/(p_1 · p_2*p_2 · p_3) + 26*(p_1 · F_2 · F_3 · p_4*p_1 · p_3*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4) + 83*(p_1 · F_3 · p_4*p_3 · F_2 · p_4*p_1 · p_4*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4),-6*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_3 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) - 72*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_3 · p_4)/(p_1 · p_2*p_2 · p_3) + 26*((((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_1 · p_3*p_3 · p_2)/((p_3 · p_4 - p_2 · p_3)*p_2 · p_3*p_1 · p_2*p_1 · p_3) - (((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_1 · p_3*p_3 · p_2)/((p_3 · p_4 - p_2 · p_3)*p_3 · p_4*p_1 · p_2*p_1 · p_3)) + 83*(((p_1 · p_3)*(e_3 · p_4) - (p_1 · e_3)*(p_3 · p_4))*((p_3 · p_2)*(e_2 · p_4) - (p_3 · e_2)*(p_2 · p_4))*p_1 · p_4*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4)
-2*(Tr(F_2 · F_3)*p_1 · p_3)/(p_1 · p_3*p_2 · p_4) + 5*(p_2 · F_3 · p_4*p_3 · F_2 · p_1)/(p_1 · p_3*p_2 · p_3*p_2 · p_4) - 52*(p_1 · F_2 · p_3*p_2 · F_3 · p_4*p_1 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) - 58*(Tr(F_2 · F_3)*p_1 · p_4)/(p_2 · p_3*p_2 · p_4),-2*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_3)/(p_1 · p_3*p_2 · p_4) + 5*(((p_2 · p_3)*(e_3 · p_4) - (p_2 · e_3)*(p_3 · p_4))*((p_3 · p_2)*(e_2 · p_1) - (p_3 · e_2)*(p_2 · p_1)))/(p_1 · p_3*p_2 · p_3*p_2 · p_4) - 52*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_2 · p_3)*(e_3 · p_4) - (p_2 · e_3)*(p_3 · p_4))*p_3 · p_1)/(p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) - 58*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_4)/(p_2 · p_3*p_2 · p_4)
3*(p_4 · F_3 · F_2 · p_1*p_1 · p_2*p_2 · p_3)/(p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4) + 71*(p_4 · F_2 · p_1*p_4 · F_3 · p_2*p_3 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4) - 28*(Tr(F_2 · F_3)*p_1 · p_2*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_3 · p_4),(3*(((p_4 · p_3)*(e_3 · p_2)*(-(e_2 · p_2 + e_2 · p_3 + e_2 · p_4)) - (p_4 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_4 · p_3)*(e_3 · e_2)*(p_2 · p_1) + (p_4 · e_3)*(p_3 · e_2)*(p_2 · p_1))*p_1 · p_2*p_2 · p_3)/(p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4) + 71*(((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*((p_4 · p_3)*(e_3 · p_2) - (p_4 · e_3)*(-(p_1 · p_2 + p_2 · p_2 + p_4 · p_2)))*p_3 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_3 · p_4) - 28*((((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_2*p_1 · p_3)/((p_3 · p_4 - p_2 · p_3)*p_2 · p_3*p_1 · p_2) - (((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_1 · p_2*p_1 · p_3)/((p_3 · p_4 - p_2 · p_3)*p_3 · p_4*p_1 · p_2)))*(p_2 · p_3)/(p_2 · p_3)
-8*(p_4 · F_3 · F_2 · p_1*p_1 · p_4*p_2 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4),-8*(((p_4 · p_3)*(e_3 · p_2)*(e_2 · p_1) - (p_4 · e_3)*(p_3 · p_2)*(e_2 · p_1) - (p_4 · p_3)*(e_3 · e_2)*(p_2 · p_1) + (p_4 · e_3)*(p_3 · e_2)*(p_2 · p_1))*p_1 · p_4*p_2 · p_4)/(p_1 · p_2*p_1 · p_3*p_3 · p_2*p_4 · p_3)
9*(p_1 · F_2 · F_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4) + 8*(Tr(F_2 · F_3)*p_2 · p_3)/(p_2 · p_3*p_2 · p_4) - (p_1 · F_2 · p_3*p_4 · F_3 · p_2*p_2 · p_4)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4) - 17*(p_1 · F_2 · F_3 · p_4*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_3 · p_4),9*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_2 · p_4*p_3 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4) + 8*(((e_2 · p_3)*(e_3 · p_2) - (p_3 · p_2)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_3)/(p_2 · p_3*p_2 · p_4) - (((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_4 · p_3)*(e_3 · p_2) - (p_4 · e_3)*(p_3 · p_2))*p_2 · p_4)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4) - 17*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_3 · p_4)
2*(p_2 · F_3 · p_4*p_4 · F_2 · p_1*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) + 53*(p_2 · F_3 · p_4*p_3 · F_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) + 78*(p_1 · F_2 · p_3*p_4 · F_3 · p_1*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) - 51*(p_4 · F_2 · F_3 · p_1*p_2 · p_3*p_2 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4),2*(((p_2 · p_3)*(e_3 · p_4) - (p_2 · e_3)*(p_3 · p_4))*((p_4 · p_2)*(e_2 · p_1) - (p_4 · e_2)*(p_2 · p_1))*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) + 53*(((p_2 · p_3)*(e_3 · p_4) - (p_2 · e_3)*(p_3 · p_4))*((p_3 · p_2)*(e_2 · p_4) - (p_3 · e_2)*(p_2 · p_4))*p_1 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) + 78*(((p_1 · p_2)*(e_2 · p_3) - (p_1 · e_2)*(p_2 · p_3))*((p_4 · p_3)*(e_3 · p_1) - (p_4 · e_3)*(p_3 · p_1))*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_4*p_3 · p_4) - 51*((((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_2 · p_3*p_2 · p_4)/((p_2 · p_4 - p_3 · p_4)*p_3 · p_4*p_1 · p_2*p_1 · p_3) - (((p_4 · p_2)*(e_2 · p_3)*(e_3 · p_1) - (p_4 · e_2)*(p_2 · p_3)*(e_3 · p_1) - (p_4 · p_2)*(e_2 · e_3)*(p_3 · p_1) + (p_4 · e_2)*(p_2 · e_3)*(p_3 · p_1))*p_2 · p_3*p_2 · p_4)/((p_2 · p_4 - p_3 · p_4)*p_2 · p_4*p_1 · p_2*p_1 · p_3))
9*(Tr(F_2 · F_3)*p_2 · p_4)/(p_1 · p_3*p_3 · p_4) - 53*(Tr(F_2 · F_3))/(p_1 · p_2) - 70*(p_1 · F_2 · F_3 · p_4*p_1 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_4),((9*(((-(e_2 · p_1 + e_2 · p_2 + e_2 · p_4))*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2))*p_2 · p_4)/(p_1 · p_3*p_3 · p_4) - 53*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_2 · e_3) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_1 · p_2) - 70*(((p_1 · p_2)*(e_2 · p_3)*(e_3 · p_4) - (p_1 · e_2)*(p_2 · p_3)*(e_3 · p_4) - (p_1 · p_2)*(e_2 · e_3)*(p_3 · p_4) + (p_1 · e_2)*(p_2 · e_3)*(p_3 · p_4))*p_1 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_4))*(p_4 · p_2 + p_3 · p_1)/(p_4 · p_2 + p_3 · p_1))*(p_4 · p_2 + p_1 · p_3)/(p_4 · p_2 + p_1 · p_3)
6*(Tr(F_2 · F_3))/(p_2 · p_4),6*(((e_2 · p_3)*(e_3 · p_2) - (p_2 · p_3)*(e_3 · e_2) - (e_2 · e_3)*(p_3 · p_2) + (p_2 · e_3)*(p_3 · e_2)))/(p_2 · p_4)
