simple,scrambled
9*(p_2 · F_3 · F_2 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3) - 33*(p_4 · F_2 · F_3 · p_2*p_2 · p_4)/(p_2 · p_3*p_2 · p_4*p_3 · p_4),(9*p_2 · p_3*e_3 · p_2*e_2 · p_3*p_1 · p_4*p_2 · p_4)/((p_1 · p_2*p_1 · p_3*-((p_1 · p_3 + p_3 · p_3 + p_4 · p_3))*((p_2 · p_4 + p_3 · p_1)))) + (9*p_2 · p_3*e_3 · p_2*e_2 · p_3*p_1 · p_4*p_3 · p_1)/((p_1 · p_2*p_1 · p_3*-((p_1 · p_3 + p_3 · p_3 + p_4 · p_3))*((p_2 · p_4 + p_3 · p_1)))) - (9*p_2 · e_3*p_3 · p_2*e_2 · p_3*p_1 · p_4*p_2 · p_4)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) - (9*p_2 · e_3*p_3 · p_2*e_2 · p_3*p_1 · p_4*p_3 · p_1)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) + (9*p_2 · p_3*e_3 · e_2*p_2 · p_3*p_1 · p_4*p_1 · p_4)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) + (9*p_2 · p_3*e_3 · e_2*p_2 · p_3*p_1 · p_4*p_3 · p_4)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) + (9*p_2 · p_3*e_3 · e_2*p_2 · p_3*p_1 · p_4*p_4 · p_4)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) - (9*p_2 · p_3*e_3 · e_2*p_2 · p_3*p_1 · p_4*p_3 · p_1)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) + (9*p_2 · e_3*p_3 · e_2*p_2 · p_3*p_1 · p_4*p_2 · p_4)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) + (9*p_2 · e_3*p_3 · e_2*p_2 · p_3*p_1 · p_4*p_3 · p_1)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*((p_2 · p_4 + p_3 · p_1)))) - (33*p_4 · p_2*e_2 · p_3*e_3 · p_2*p_2 · p_4*p_2 · p_4)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1)))) - (33*p_4 · p_2*e_2 · p_3*e_3 · p_2*p_2 · p_4*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1)))) + (33*p_4 · e_2*p_2 · p_3*e_3 · p_2*p_2 · p_4*p_2 · p_4)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1)))) + (33*p_4 · e_2*p_2 · p_3*e_3 · p_2*p_2 · p_4*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1)))) + (33*p_4 · p_2*e_2 · e_3*p_3 · p_2*p_2 · p_4*p_2 · p_4)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1)))) + (33*p_4 · p_2*e_2 · e_3*p_3 · p_2*p_2 · p_4*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1)))) - (33*p_4 · e_2*p_2 · e_3*p_2 · p_3*p_2 · p_4*p_2 · p_4)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1)))) - (33*p_4 · e_2*p_2 · e_3*p_3 · p_2*p_2 · p_4*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_4 + p_3 · p_1))))
4*(p_4 · F_2 · F_3 · p_2*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_2 · p_4),(4*p_4 · p_2*e_2 · p_3*e_3 · p_2*p_1 · p_3*p_3 · p_1*p_2 · p_1)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_1*p_2 · p_1) - (4*p_4 · e_2*p_2 · p_3*e_3 · p_2*p_1 · p_3*p_3 · p_1*p_2 · p_1)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_1*p_2 · p_1) - (4*p_4 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_3*p_3 · p_1*p_2 · p_1)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_1*p_2 · p_1) + (4*p_4 · e_2*p_2 · e_3*p_3 · p_2*p_1 · p_3*p_3 · p_1*p_2 · p_1)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_1*p_2 · p_1)
(p_3 · F_2 · F_3 · p_2)/(p_2 · p_4*p_3 · p_4) + (p_4 · F_3 · F_2 · p_1)/(p_1 · p_2*p_2 · p_3),-(p_3 · p_2*e_2 · p_1*e_3 · p_2)/(p_2 · p_4*p_3 · p_4) - (p_3 · p_2*e_2 · p_2*e_3 · p_2)/(p_2 · p_4*p_3 · p_4) - (p_3 · p_2*e_2 · p_4*e_3 · p_2)/(p_2 · p_4*p_3 · p_4) - (p_3 · e_2*p_2 · p_3*e_3 · p_2)/(p_2 · p_4*p_3 · p_4) - (p_3 · p_2*e_2 · e_3*p_3 · p_2)/(p_2 · p_4*p_3 · p_4) + (p_3 · e_2*p_2 · e_3*p_3 · p_2)/(p_2 · p_4*p_3 · p_4) + (p_4 · p_3*e_3 · p_2*e_2 · p_1)/((((p_1 · p_2 - p_2 · p_3))*p_2 · p_3)) - (p_4 · p_3*e_3 · p_2*e_2 · p_1)/((((p_1 · p_2 - p_2 · p_3))*p_1 · p_2)) - (p_4 · e_3*p_3 · p_2*e_2 · p_1)/(p_1 · p_2*p_2 · p_3) - (p_4 · p_3*e_3 · e_2*p_2 · p_1)/(p_1 · p_2*p_2 · p_3) + (p_4 · e_3*p_3 · e_2*p_2 · p_1)/(p_1 · p_2*p_2 · p_3)
2*(p_4 · F_3 · F_2 · p_3*p_2 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3) - 91*(p_4 · F_2 · F_3 · p_1*p_1 · p_2*p_2 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4) - 22*(p_1 · F_2 · p_4*p_2 · F_3 · p_2*p_1 · p_2*p_2 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*(p_2 · p_4)^2) - 22*(p_4 · F_2 · F_3 · p_2*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_3 · p_4),-(2*p_4 · p_3*e_3 · p_1*e_2 · p_3*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_4 · p_2) - (2*p_4 · p_3*e_3 · p_3*e_2 · p_3*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_4 · p_2) - (2*p_4 · p_3*e_3 · p_4*e_2 · p_3*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_4 · p_2) - (2*p_4 · e_3*p_3 · p_2*e_2 · p_3*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_4 · p_2) - (2*p_4 · p_3*e_3 · e_2*p_2 · p_3*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_4 · p_2) + (2*p_4 · e_3*p_3 · e_2*p_2 · p_3*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_4 · p_2) - (91*p_4 · p_2*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_2 · p_3*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_4 · p_2) + (91*p_4 · e_2*p_2 · p_3*e_3 · p_1*p_1 · p_2*p_2 · p_3*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_4 · p_2) + (91*p_4 · p_2*e_2 · e_3*p_3 · p_1*p_1 · p_2*p_2 · p_3*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4*p_4 · p_2) - (91*p_4 · e_2*p_2 · e_3*p_3 · p_1*p_1 · p_2*p_2 · p_3*p_4 · p_2)/((p_1 · p_2*-((p_2 · p_3 + p_3 · p_3 + p_4 · p_3))*p_2 · p_3*p_2 · p_4*p_4 · p_2)) - (22*p_1 · p_2*e_2 · p_4*p_2 · p_3*p_2 · e_3*p_1 · p_2*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_4 · p_2) + (22*p_1 · p_2*e_2 · p_4*p_2 · e_3*p_3 · p_2*p_1 · p_2*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_4 · p_2) + (22*p_1 · e_2*p_2 · p_4*p_2 · p_3*e_3 · p_2*p_1 · p_2*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_4 · p_2) - (22*p_1 · e_2*p_2 · p_4*p_2 · e_3*p_3 · p_2*p_1 · p_2*p_2 · p_4*p_4 · p_2)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_4 · p_2) - (22*p_4 · p_2*e_2 · p_3*e_3 · p_2*p_1 · p_3*p_4 · p_2)/(p_1 · p_2*p_2 · p_3*p_3 · p_4*p_4 · p_2) + (22*p_4 · e_2*p_2 · p_3*e_3 · p_2*p_1 · p_3*p_4 · p_2)/(p_1 · p_2*p_2 · p_3*p_3 · p_4*p_4 · p_2) + (22*p_4 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_3*p_4 · p_2)/(p_1 · p_2*p_2 · p_3*p_3 · p_4*p_4 · p_2) - (22*p_4 · e_2*p_2 · e_3*p_3 · p_2*p_1 · p_3*p_4 · p_2)/(p_1 · p_2*p_2 · p_3*p_3 · p_4*p_4 · p_2)
(p_1 · F_2 · F_3 · p_1*p_1 · p_2*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*(p_3 · p_4)^2),(p_1 · p_2*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4*p_2 · p_3)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1)))) + (p_1 · p_2*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4*p_4 · p_1)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1)))) - (p_1 · e_2*p_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4*p_2 · p_3)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1)))) - (p_1 · e_2*p_2 · p_3*e_3 · p_1*p_1 · p_2*p_3 · p_4*p_4 · p_1)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1)))) - (p_1 · p_2*e_2 · e_3*p_3 · p_1*p_1 · p_2*p_3 · p_4*p_2 · p_3)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1)))) - (p_1 · p_2*e_2 · e_3*p_3 · p_1*p_1 · p_2*p_3 · p_4*p_4 · p_1)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1)))) + (p_1 · e_2*p_2 · e_3*p_3 · p_1*p_1 · p_2*p_3 · p_4*p_2 · p_3)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1)))) + (p_1 · e_2*p_2 · e_3*p_3 · p_1*p_1 · p_2*p_3 · p_4*p_4 · p_1)/((p_1 · p_3*p_2 · p_3*p_3 · p_4**2*((p_2 · p_3 + p_4 · p_1))))
(p_1 · F_3 · p_1*p_4 · F_2 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4) + (p_3 · F_2 · p_1*p_4 · F_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_3 · p_4),(p_1 · p_3*e_3 · p_1*p_4 · p_2*e_2 · p_4)/((p_1 · p_3*-((p_1 · p_3 + p_3 · p_3 + p_4 · p_3))*p_2 · p_4)) - (p_1 · p_3*e_3 · p_1*p_4 · e_2*p_2 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4) - (p_1 · e_3*p_3 · p_1*p_4 · p_2*e_2 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4) + (p_1 · e_3*p_3 · p_1*p_4 · e_2*p_2 · p_4)/((((p_2 · p_4 - p_2 · p_3))*p_2 · p_3*p_1 · p_3)) - (p_1 · e_3*p_3 · p_1*p_4 · e_2*p_2 · p_4)/((((p_2 · p_4 - p_2 · p_3))*p_2 · p_4*p_1 · p_3)) + (p_3 · p_2*e_2 · p_1*p_4 · p_3*e_3 · p_4)/(p_3 · p_1*p_2 · p_3*p_3 · p_4) - (p_3 · p_2*e_2 · p_1*p_4 · e_3*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_3 · p_4) - (p_3 · e_2*p_2 · p_1*p_4 · p_3*p_4 · e_3)/(p_1 · p_3*p_2 · p_3*p_3 · p_4) + (p_3 · e_2*p_2 · p_1*p_4 · e_3*p_4 · p_3)/(p_1 · p_3*p_2 · p_3*p_3 · p_4)
2*(p_4 · F_2 · p_3*p_4 · F_3 · p_4*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4) - 56*(p_2 · F_3 · F_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_2 · p_4) - 45*(Tr(F_2 · F_3))/(p_1 · p_2) + 69*(p_2 · F_3 · p_4*p_4 · F_2 · p_1)/(p_2 · p_3*p_2 · p_4*p_3 · p_4),(2*p_4 · p_2*e_2 · p_3*p_4 · p_3*e_3 · p_4*p_1 · p_3)/((((p_2 · p_4 - p_3 · p_4))*p_3 · p_4*p_1 · p_2*p_2 · p_3)) - (2*p_4 · p_2*e_2 · p_3*p_4 · p_3*e_3 · p_4*p_1 · p_3)/((((p_2 · p_4 - p_3 · p_4))*p_2 · p_4*p_1 · p_2*p_2 · p_3)) - (2*p_4 · p_2*e_2 · p_3*p_4 · e_3*p_3 · p_4*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4) - (2*p_4 · e_2*p_2 · p_3*p_4 · p_3*e_3 · p_4*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4) + (2*p_4 · e_2*p_2 · p_3*p_4 · e_3*p_3 · p_4*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4) - (56*p_2 · p_3*e_3 · p_2*e_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_2 · p_4) + (56*p_2 · e_3*p_3 · p_2*e_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_2 · p_4) + (56*p_2 · p_3*e_3 · e_2*p_2 · p_4*p_1 · p_2)/((((p_2 · p_4 - p_1 · p_2))*p_1 · p_2*p_2 · p_3)) - (56*p_2 · p_3*e_3 · e_2*p_2 · p_4*p_1 · p_2)/((((p_2 · p_4 - p_2 · p_1))*p_2 · p_4*p_2 · p_3)) - (56*p_2 · e_3*p_3 · e_2*p_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_2 · p_4) - (45*e_2 · p_3*e_3 · p_2)/(p_1 · p_2) + (45*p_2 · p_3*e_3 · e_2)/(p_1 · p_2) + (45*e_2 · e_3*p_3 · p_2)/(p_1 · p_2) - (45*p_2 · e_3*p_3 · e_2)/(p_1 · p_2) + (69*p_2 · p_3*e_3 · p_4*p_4 · p_2*e_2 · p_1)/(p_2 · p_3*p_2 · p_4*p_3 · p_4) - (69*p_2 · p_3*e_3 · p_4*p_4 · e_2*p_2 · p_1)/(p_2 · p_3*p_2 · p_4*p_3 · p_4) - (69*p_2 · e_3*p_3 · p_4*p_4 · p_2*e_2 · p_1)/(p_2 · p_3*p_2 · p_4*p_3 · p_4) + (69*p_2 · e_3*p_3 · p_4*p_4 · e_2*p_2 · p_1)/(p_2 · p_3*p_2 · p_4*p_3 · p_4)
-9*(Tr(F_2 · F_3))/(p_2 · p_4) - 90*(p_3 · F_2 · F_3 · p_2)/(p_1 · p_2*p_3 · p_4) + 86*(p_1 · F_2 · F_3 · p_1*p_1 · p_2*p_1 · p_4)/((p_1 · p_2)^2*p_1 · p_3*p_2 · p_3) - 54*(Tr(F_2 · F_3))/(p_1 · p_3) + 32*(p_1 · F_2 · p_4*p_4 · F_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*(p_2 · p_4)^2*p_3 · p_4),-(9*e_2 · p_3*e_3 · p_2)/(p_2 · p_4) + (9*p_2 · p_3*e_3 · e_2)/(p_2 · p_4) + (9*e_2 · e_3*p_3 · p_2)/(p_2 · p_4) - (9*p_2 · e_3*p_3 · e_2)/(p_2 · p_4) - (90*p_3 · p_2*e_2 · p_3*e_3 · p_2)/(p_1 · p_2*p_3 · p_4) + (90*p_3 · e_2*p_2 · p_3*e_3 · p_2)/(p_1 · p_2*p_3 · p_4) + (90*p_3 · p_2*e_2 · e_3*p_3 · p_2)/(p_1 · p_2*p_3 · p_4) - (90*p_3 · e_2*p_2 · e_3*p_3 · p_2)/(p_1 · p_2*p_3 · p_4) + (86*p_1 · p_2*e_2 · p_3*e_3 · p_1*p_1 · p_2*p_1 · p_4)/(p_1 · p_2**2*p_1 · p_3*p_2 · p_3) - (86*p_1 · e_2*p_2 · p_3*e_3 · p_1*p_1 · p_2*p_1 · p_4)/(p_1 · p_2**2*p_1 · p_3*p_2 · p_3) - (86*p_1 · p_2*e_2 · e_3*p_3 · p_1*p_1 · p_2*p_1 · p_4)/(p_1 · p_2**2*p_1 · p_3*p_2 · p_3) + (86*p_1 · e_2*p_2 · e_3*p_3 · p_1*p_1 · p_2*p_1 · p_4)/(p_1 · p_2**2*p_1 · p_3*p_2 · p_3) - (54*e_2 · p_3*e_3 · p_2)/(p_1 · p_3) + (54*p_2 · p_3*e_3 · e_2)/(p_1 · p_3) + (54*e_2 · e_3*p_3 · p_2)/(p_1 · p_3) - (54*p_2 · e_3*p_3 · e_2)/(p_1 · p_3) - (32*p_1 · p_2*e_2 · p_1*p_4 · p_3*e_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_3 · p_4) - (32*p_1 · p_2*e_2 · p_2*p_4 · p_3*e_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_3 · p_4) - (32*p_1 · p_2*e_2 · p_3*p_4 · p_3*e_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_3 · p_4) - (32*p_1 · p_2*e_2 · p_4*p_4 · e_3*p_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_3 · p_4) - (32*p_1 · e_2*p_2 · p_4*p_4 · p_3*e_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_3 · p_4) + (32*p_1 · e_2*p_2 · p_4*p_4 · e_3*p_3 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_3*p_2 · p_3*p_2 · p_4**2*p_3 · p_4)
-7*(p_4 · F_2 · F_3 · p_4)/(p_1 · p_2*p_1 · p_3),-(7*p_4 · p_2*e_2 · p_3*e_3 · p_4)/(p_1 · p_2*p_3 · p_1) + (7*p_4 · e_2*p_2 · p_3*e_3 · p_4)/(p_1 · p_2*p_1 · p_3) + (7*p_4 · p_2*e_2 · e_3*p_3 · p_4)/(p_1 · p_2*p_1 · p_3) - (7*p_4 · e_2*p_2 · e_3*p_3 · p_4)/(p_1 · p_2*p_1 · p_3)
(p_1 · F_2 · F_3 · p_2*p_1 · p_4*p_2 · p_4)/(p_1 · p_3*(p_2 · p_4)^2*p_3 · p_4) + (p_1 · F_2 · F_3 · p_1*p_1 · p_4)/(p_1 · p_2*p_1 · p_3*p_2 · p_4),(p_1 · p_2*e_2 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · p_2*e_2 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_1 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_1 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_3 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_3 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_4 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_4 · p_3*e_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_2 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_2 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_3 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_3 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_4 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_4 · p_2*e_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_2 · e_3*p_3 · p_2*p_1 · p_4*p_2 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_3*p_2 · p_4**2*p_3 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · p_2*e_2 · p_3*e_3 · p_1*p_1 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · p_2*e_2 · p_3*e_3 · p_1*p_1 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) - (p_1 · e_2*p_2 · p_3*e_3 · p_1*p_1 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) - (p_1 · e_2*p_2 · p_3*e_3 · p_1*p_1 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) - (p_1 · p_2*e_2 · e_3*p_3 · p_1*p_1 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) - (p_1 · p_2*e_2 · e_3*p_3 · p_1*p_1 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_2 · e_3*p_3 · p_1*p_1 · p_4*p_2 · p_1*p_4 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1)))) + (p_1 · e_2*p_2 · e_3*p_3 · p_1*p_1 · p_4*p_2 · p_1*p_2 · p_1)/((p_1 · p_2*p_1 · p_3*p_2 · p_4*p_2 · p_1*((p_4 · p_3 + p_2 · p_1))))
