simple,scrambled
2*(p_1 · F_3 · p_2*p_4 · F_2 · p_3)/(p_1 · p_3*(p_2 · p_4)^2*p_3 · p_4),(2*p_1 · p_3*e_3 · p_2*p_4 · p_2*e_2 · p_3)/(p_1 · p_3*p_2 · p_4**2*p_3 · p_4) - (2*p_1 · p_3*p_2 · e_3*p_4 · e_2*p_2 · p_3)/(p_1 · p_3*p_2 · p_4**2*p_3 · p_4) - (2*p_1 · e_3*p_3 · p_2*p_4 · p_2*e_2 · p_3)/(p_1 · p_3*p_2 · p_4**2*p_3 · p_4) + (2*p_1 · e_3*p_3 · p_2*p_4 · e_2*p_2 · p_3)/(p_1 · p_3*p_2 · p_4**2*p_3 · p_4)
-6*(p_1 · F_2 · F_3 · p_4*p_1 · p_4)/((p_1 · p_2)^2*p_1 · p_3*p_2 · p_3) - 69*(p_4 · F_3 · F_2 · p_1*p_1 · p_2*p_1 · p_3)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4),-(6*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_1 · p_4*p_3 · p_4*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) - (6*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_1 · p_4*p_2 · p_1*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (6*p_1 · e_2*p_2 · p_3*e_3 · p_4*p_1 · p_4*p_3 · p_4*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (6*p_1 · e_2*p_2 · p_3*e_3 · p_4*p_1 · p_4*p_2 · p_1*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (6*p_1 · p_2*e_2 · e_3*p_3 · p_4*p_1 · p_4*p_3 · p_4*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (6*p_1 · p_2*e_2 · e_3*p_3 · p_4*p_1 · p_4*p_2 · p_1*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) - (6*p_1 · e_2*p_2 · e_3*p_3 · p_4*p_1 · p_4*p_3 · p_4*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) - (6*p_1 · e_2*p_2 · e_3*p_3 · p_4*p_1 · p_4*p_2 · p_1*p_1 · p_4)/((p_1 · p_2**2*p_1 · p_3*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · p_3*e_3 · p_2*e_2 · p_1*p_1 · p_2*p_2 · p_3*p_3 · p_4*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · p_3*e_3 · p_2*e_2 · p_1*p_1 · p_2*p_3 · p_3*p_3 · p_4*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · p_3*e_3 · p_2*e_2 · p_1*p_1 · p_2*p_4 · p_3*p_3 · p_4*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) - (69*p_4 · p_3*e_3 · p_2*e_2 · p_1*p_1 · p_2*p_1 · p_3*p_2 · p_1*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · e_3*p_3 · p_2*e_2 · p_1*p_1 · p_2*p_1 · p_3*p_3 · p_4*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · e_3*p_3 · p_2*e_2 · p_1*p_1 · p_2*p_1 · p_3*p_2 · p_1*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · p_3*e_3 · e_2*p_2 · p_1*p_1 · p_2*p_1 · p_3*p_3 · p_4*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · p_3*e_3 · e_2*p_2 · p_1*p_1 · p_2*p_1 · p_3*p_2 · p_1*p_1 · p_4)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) - (69*p_4 · e_3*p_3 · e_2*p_2 · p_1*p_1 · p_2*p_1 · p_3*p_3 · p_4*p_1 · p_4)/((((p_3 · p_4 - p_2 · p_4))*p_2 · p_4*p_1 · p_2*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) - (69*p_4 · e_3*p_3 · e_2*p_2 · p_1*p_1 · p_2*p_1 · p_3*p_2 · p_1*p_1 · p_4)/((((p_3 · p_4 - p_2 · p_4))*p_2 · p_4*p_1 · p_2*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · e_3*p_3 · e_2*p_2 · p_1*p_1 · p_2*p_1 · p_3*p_3 · p_4*p_1 · p_4)/((((p_3 · p_4 - p_2 · p_4))*p_3 · p_4*p_1 · p_2*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4)) + (69*p_4 · e_3*p_3 · e_2*p_2 · p_1*p_1 · p_2*p_1 · p_3*p_2 · p_1*p_1 · p_4)/((((p_3 · p_4 - p_2 · p_4))*p_3 · p_4*p_1 · p_2*p_2 · p_3*((p_3 · p_4 + p_2 · p_1))*p_1 · p_4))
3*(p_1 · F_3 · F_2 · p_4*p_2 · p_4*p_3 · p_4)/(p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4) - 14*(p_4 · F_2 · p_3*p_4 · F_3 · p_2*p_1 · p_3)/(p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4),(3*p_1 · p_3*e_3 · p_2*e_2 · p_4*p_2 · p_4*p_3 · p_4*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) + (3*p_1 · p_3*e_3 · p_2*e_2 · p_4*p_2 · p_4*p_3 · p_4*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (3*p_1 · e_3*p_3 · p_2*e_2 · p_4*p_2 · p_4*p_3 · p_4*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (3*p_1 · e_3*p_3 · p_2*e_2 · p_4*p_2 · p_4*p_3 · p_4*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (3*p_1 · p_3*e_3 · e_2*p_2 · p_4*p_2 · p_4*p_3 · p_4*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (3*p_1 · p_3*e_3 · e_2*p_2 · p_4*p_2 · p_4*p_3 · p_4*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) + (3*p_1 · e_3*p_3 · e_2*p_2 · p_4*p_2 · p_4*p_3 · p_4*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) + (3*p_1 · e_3*p_3 · e_2*p_2 · p_4*p_2 · p_4*p_3 · p_4*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_2 · p_3*p_2 · p_4*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (14*p_4 · p_2*e_2 · p_3*p_4 · p_3*e_3 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (14*p_4 · p_2*e_2 · p_3*p_4 · p_3*e_3 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) + (14*p_4 · p_2*e_2 · p_3*p_4 · e_3*p_3 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) + (14*p_4 · p_2*e_2 · p_3*p_4 · e_3*p_3 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) + (14*p_4 · e_2*p_2 · p_3*p_4 · p_3*e_3 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) + (14*p_4 · e_2*p_2 · p_3*p_4 · p_3*e_3 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (14*p_4 · e_2*p_2 · p_3*p_4 · e_3*p_3 · p_2*p_1 · p_3*p_2 · p_3*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3)) - (14*p_4 · e_2*p_2 · p_3*p_4 · e_3*p_3 · p_2*p_1 · p_3*p_1 · p_4*p_2 · p_3)/((p_1 · p_2*p_1 · p_3*p_2 · p_3*p_3 · p_4*((p_2 · p_3 + p_1 · p_4))*p_2 · p_3))
4*(p_1 · F_3 · F_2 · p_4)/(p_1 · p_2*p_2 · p_3) - 46*(Tr(F_2 · F_3)*p_2 · p_4)/(p_2 · p_3*p_2 · p_4),(4*p_1 · p_3*e_3 · p_2*e_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_1 · p_2) - (4*p_1 · e_3*p_3 · p_2*e_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_1 · p_2) - (4*p_1 · p_3*e_3 · e_2*p_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_1 · p_2) + (4*p_1 · e_3*p_3 · e_2*p_2 · p_4*p_1 · p_2)/(p_1 · p_2*p_2 · p_3*p_1 · p_2) - (46*e_2 · p_3*e_3 · p_2*p_2 · p_4*p_1 · p_2)/(p_2 · p_3*p_2 · p_4*p_1 · p_2) + (46*p_2 · p_3*e_3 · e_2*p_2 · p_4*p_1 · p_2)/(p_2 · p_3*p_2 · p_4*p_1 · p_2) + (46*e_2 · e_3*p_3 · p_2*p_2 · p_4*p_1 · p_2)/(p_2 · p_3*p_2 · p_4*p_1 · p_2) - (46*p_2 · e_3*p_3 · e_2*p_2 · p_4*p_1 · p_2)/(p_2 · p_3*p_2 · p_4*p_1 · p_2)
9*(Tr(F_2 · F_3))/(p_2 · p_3) - 97*(p_1 · F_3 · p_4*p_3 · F_2 · p_1*p_1 · p_2*p_2 · p_3)/(p_1 · p_2*(p_1 · p_3)^2*p_2 · p_3*p_2 · p_4*p_3 · p_4),-(9*e_2 · p_1*e_3 · p_2*p_1 · p_4)/(p_2 · p_3*p_1 · p_4) - (9*e_2 · p_2*e_3 · p_2*p_1 · p_4)/(p_2 · p_3*p_1 · p_4) - (9*e_2 · p_4*e_3 · p_2*p_1 · p_4)/(p_2 · p_3*p_1 · p_4) - (9*p_2 · p_3*e_3 · e_2*p_1 · p_4)/(p_2 · p_3*p_1 · p_4) - (9*e_2 · e_3*p_3 · p_2*p_1 · p_4)/(p_2 · p_3*p_1 · p_4) + (9*p_2 · e_3*p_3 · e_2*p_1 · p_4)/(p_2 · p_3*p_1 · p_4) - (97*p_1 · p_3*e_3 · p_4*p_3 · p_2*e_2 · p_1*p_1 · p_2*p_2 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3**2*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_1 · p_4) + (97*p_1 · p_3*e_3 · p_4*p_3 · e_2*p_2 · p_1*p_1 · p_2*p_2 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3**2*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_1 · p_4) - (97*p_1 · e_3*p_3 · p_4*p_3 · p_2*e_2 · p_1*p_2 · p_2*p_2 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3**2*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_1 · p_4) - (97*p_1 · e_3*p_3 · p_4*p_3 · p_2*e_2 · p_1*p_3 · p_2*p_2 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3**2*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_1 · p_4) - (97*p_1 · e_3*p_3 · p_4*p_3 · p_2*e_2 · p_1*p_4 · p_2*p_2 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3**2*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_1 · p_4) - (97*p_1 · e_3*p_3 · p_4*p_3 · e_2*p_2 · p_1*p_1 · p_2*p_2 · p_3*p_1 · p_4)/(p_1 · p_2*p_1 · p_3**2*p_2 · p_3*p_2 · p_4*p_3 · p_4*p_1 · p_4)
-8*(p_1 · F_2 · F_3 · p_4*p_2 · p_3)/(p_2 · p_3*p_2 · p_4*(p_3 · p_4)^2),(8*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_1 · p_3*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_1 · p_3*p_4 · p_2)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_3 · p_3*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_3 · p_3*p_4 · p_2)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_4 · p_3*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · p_2*e_2 · p_3*e_3 · p_4*p_4 · p_3*p_4 · p_2)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · e_2*p_2 · p_3*e_3 · p_4*p_2 · p_3*p_3 · p_1)/((((p_2 · p_4 - p_2 · p_3))*p_2 · p_3*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · e_2*p_2 · p_3*e_3 · p_4*p_2 · p_3*p_4 · p_2)/((((p_2 · p_4 - p_2 · p_3))*p_2 · p_3*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) - (8*p_1 · e_2*p_2 · p_3*e_3 · p_4*p_2 · p_3*p_3 · p_1)/((((p_2 · p_4 - p_2 · p_3))*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) - (8*p_1 · e_2*p_2 · p_3*e_3 · p_4*p_2 · p_3*p_4 · p_2)/((((p_2 · p_4 - p_2 · p_3))*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · p_2*e_2 · e_3*p_3 · p_4*p_2 · p_3*p_3 · p_1)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · p_2*e_2 · e_3*p_3 · p_4*p_2 · p_3*p_4 · p_2)/((p_2 · p_3*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) - (8*p_1 · e_2*p_2 · e_3*p_3 · p_4*p_2 · p_3*p_3 · p_1)/((((p_2 · p_3 - -((p_1 · p_4 + p_3 · p_4 + p_4 · p_4))))*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) - (8*p_1 · e_2*p_2 · e_3*p_3 · p_4*p_2 · p_3*p_4 · p_2)/((((p_2 · p_3 - -((p_1 · p_4 + p_3 · p_4 + p_4 · p_4))))*p_2 · p_4*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · e_2*p_2 · e_3*p_3 · p_4*p_2 · p_3*p_3 · p_1)/((((p_2 · p_3 - p_2 · p_4))*p_2 · p_3*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2)))) + (8*p_1 · e_2*p_2 · e_3*p_3 · p_4*p_2 · p_3*p_4 · p_2)/((((p_2 · p_3 - p_2 · p_4))*p_2 · p_3*p_3 · p_4**2*((p_3 · p_1 + p_4 · p_2))))
-2*(p_1 · F_2 · p_4*p_4 · F_3 · p_2)/((p_1 · p_2)^2*p_2 · p_3*p_3 · p_4),(2*p_1 · p_2*e_2 · p_1*p_4 · p_3*e_3 · p_2)/(p_1 · p_2**2*p_2 · p_3*p_3 · p_4) + (2*p_1 · p_2*e_2 · p_2*p_4 · p_3*e_3 · p_2)/(p_1 · p_2**2*p_2 · p_3*p_3 · p_4) + (2*p_1 · p_2*e_2 · p_3*p_4 · p_3*e_3 · p_2)/(p_1 · p_2**2*p_2 · p_3*p_3 · p_4) + (2*p_1 · p_2*e_2 · p_4*p_4 · e_3*p_3 · p_2)/(p_1 · p_2**2*p_2 · p_3*p_3 · p_4) + (2*p_1 · e_2*p_2 · p_4*p_4 · p_3*e_3 · p_2)/(p_1 · p_2**2*p_2 · p_3*p_3 · p_4) - (2*p_1 · e_2*p_2 · p_4*p_4 · e_3*p_3 · p_2)/(p_1 · p_2**2*p_2 · p_3*p_3 · p_4)
8*(Tr(F_2 · F_3)*p_2 · p_4)/(p_2 · p_3*p_3 · p_4) - 5*(p_1 · F_3 · F_2 · p_4*p_1 · p_4)/(p_1 · p_2*(p_2 · p_3)^2*p_2 · p_4),(8*e_2 · p_3*e_3 · p_2*p_2 · p_4)/(p_2 · p_3*p_3 · p_4) - (8*p_2 · p_3*e_3 · e_2*p_2 · p_4)/(p_2 · p_3*p_3 · p_4) - (8*e_2 · e_3*p_3 · p_2*p_2 · p_4)/(p_2 · p_3*p_3 · p_4) + (8*p_2 · e_3*p_3 · e_2*p_2 · p_4)/(p_2 · p_3*p_3 · p_4) - (5*p_1 · p_3*e_3 · p_2*e_2 · p_4*p_1 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_2 · p_4) + (5*p_1 · e_3*p_3 · p_2*e_2 · p_4*p_1 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_2 · p_4) + (5*p_1 · p_3*e_2 · e_3*p_2 · p_4*p_1 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_4 · p_2) - (5*p_1 · e_3*p_3 · e_2*p_2 · p_4*p_1 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_2 · p_4)
9*(Tr(F_2 · F_3))/((p_2 · p_3)^2) - 59*(Tr(F_2 · F_3)*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*(p_2 · p_3)^2*p_3 · p_4),(9*e_2 · p_3*e_3 · p_2)/(p_2 · p_3**2) - (9*p_2 · p_3*e_3 · e_2)/(p_2 · p_3**2) - (9*e_2 · e_3*p_3 · p_2)/(p_2 · p_3**2) + (9*p_2 · e_3*p_3 · e_2)/(p_2 · p_3**2) - (59*e_2 · p_3*e_3 · p_2*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_3 · p_4) + (59*p_2 · p_3*e_3 · e_2*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_3 · p_4) - (59*e_2 · e_3*p_1 · p_2*p_2 · p_3*p_3 · p_4)/((p_1 · p_2*p_2 · p_3**2*-((p_1 · p_4 + p_2 · p_4 + p_4 · p_4)))) - (59*e_2 · e_3*p_2 · p_2*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_3 · p_4) - (59*e_2 · e_3*p_4 · p_2*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_3 · p_4) - (59*p_2 · e_3*p_3 · e_2*p_2 · p_3*p_3 · p_4)/(p_1 · p_2*p_2 · p_3**2*p_3 · p_4)
-7*(p_4 · F_3 · F_2 · p_1*p_1 · p_3)/(p_1 · p_3*p_2 · p_3*p_2 · p_4),-(7*p_4 · p_3*e_3 · p_2*e_2 · p_1*p_1 · p_3)/((((p_1 · p_3 - p_2 · p_3))*p_2 · p_3*p_2 · p_4)) + (7*p_4 · p_3*e_3 · p_2*e_2 · p_1*p_1 · p_3)/((((p_1 · p_3 - p_2 · p_3))*p_1 · p_3*p_2 · p_4)) + (7*p_4 · e_3*p_3 · p_2*e_2 · p_1*p_1 · p_3)/((p_1 · p_3*-((p_1 · p_3 + p_3 · p_3 + p_4 · p_3))*p_2 · p_4)) + (7*p_4 · p_3*e_3 · e_2*p_2 · p_1*p_1 · p_3)/(p_1 · p_3*p_2 · p_3*p_2 · p_4) - (7*e_3 · p_4*p_3 · e_2*p_2 · p_1*p_1 · p_3)/(p_1 · p_3*p_2 · p_3*p_2 · p_4)
